,Luchthaven,Jaartal,Totaal ATM,Totaal Commercieel ATM,C. Geregeld PAX ATM,C. Geregeld Cargo ATM,C. Ongeregeld PAX ATM,C. Ongeregeld Cargo ATM,C. Brandstof ATM,C. Positievlucht ATM,C. Taxivlucht ATM,C. Fotovlucht ATM,C. Rondvlucht ATM,C. Reclamevlucht ATM,C. Spuitvlucht ATM,C. Ambulancevlucht ATM,C. Overig ATM,Totaal Non-Commercieel ATM,NC. Zakenvlucht ATM,NC. Privévlucht ATM,NC. Valschermvlucht ATM,NC. Zweefsleepvlucht ATM,NC. Politievlucht ATM,NC. Inspectievlucht ATM,NC. Maatschappelijke vlucht ATM,NC. Les/Oefenvlucht ATM,NC. Proef/Testvlucht ATM,NC. Overig ATM,Regio,Regio Totaal
11,Ameland,2010,4283.0,670.0,0.0,0.0,14.0,0.0,0.0,14.0,4.0,15.0,586.0,8.0,0.0,26.0,3.0,3613.0,18.0,2892.0,556.0,16.0,1.0,0.0,0.0,120.0,0.0,10.0,Noord,26259.0
12,Ameland,2011,4184.0,750.0,0.0,2.0,2.0,0.0,0.0,6.0,8.0,8.0,664.0,18.0,0.0,21.0,21.0,3434.0,2.0,2921.0,413.0,14.0,3.0,2.0,0.0,75.0,0.0,4.0,Noord,29596.0
13,Ameland,2012,3469.0,560.0,0.0,0.0,10.0,0.0,0.0,20.0,5.0,8.0,472.0,6.0,1.0,23.0,15.0,2909.0,2.0,2292.0,512.0,16.0,0.0,4.0,2.0,76.0,4.0,1.0,Noord,25016.0
14,Ameland,2013,4344.0,664.0,0.0,0.0,2.0,0.0,7.0,18.0,20.0,34.0,563.0,1.0,0.0,8.0,11.0,3680.0,4.0,2584.0,950.0,27.0,1.0,2.0,1.0,104.0,0.0,7.0,Noord,23444.0
15,Ameland,2014,4680.0,623.0,0.0,0.0,4.0,2.0,2.0,20.0,13.0,10.0,548.0,12.0,0.0,12.0,0.0,4057.0,20.0,2802.0,1066.0,112.0,0.0,2.0,3.0,48.0,2.0,2.0,Noord,22929.0
16,Ameland,2015,4840.0,728.0,0.0,0.0,4.0,0.0,0.0,22.0,0.0,20.0,630.0,5.0,0.0,12.0,35.0,4112.0,12.0,2823.0,1141.0,77.0,2.0,0.0,6.0,37.0,2.0,12.0,Noord,23334.0
17,Ameland,2016,4655.0,659.0,0.0,0.0,6.0,0.0,2.0,18.0,2.0,12.0,585.0,12.0,0.0,16.0,6.0,3996.0,11.0,2757.0,1157.0,13.0,4.0,4.0,3.0,32.0,5.0,10.0,Noord,21080.0
18,Ameland,2017,4308.0,584.0,0.0,0.0,13.0,0.0,0.0,40.0,5.0,28.0,455.0,10.0,0.0,18.0,15.0,3724.0,12.0,2544.0,1094.0,22.0,2.0,31.0,0.0,16.0,0.0,3.0,Noord,20284.0
19,Ameland,2018,4470.0,552.0,0.0,0.0,0.0,0.0,2.0,51.0,8.0,17.0,449.0,8.0,0.0,4.0,13.0,3918.0,21.0,2676.0,1062.0,20.0,3.0,35.0,16.0,73.0,2.0,10.0,Noord,25768.0
20,Ameland,2019,3956.0,402.0,0.0,0.0,1.0,0.0,3.0,18.0,4.0,14.0,336.0,10.0,0.0,2.0,14.0,3554.0,13.0,2507.0,924.0,18.0,2.0,55.0,0.0,28.0,2.0,5.0,Noord,22740.0
