,Luchthaven,Jaartal,Totaal ATM,Totaal Commercieel ATM,C. Geregeld PAX ATM,C. Geregeld Cargo ATM,C. Ongeregeld PAX ATM,C. Ongeregeld Cargo ATM,C. Brandstof ATM,C. Positievlucht ATM,C. Taxivlucht ATM,C. Fotovlucht ATM,C. Rondvlucht ATM,C. Reclamevlucht ATM,C. Spuitvlucht ATM,C. Ambulancevlucht ATM,C. Overig ATM,Totaal Non-Commercieel ATM,NC. Zakenvlucht ATM,NC. Privévlucht ATM,NC. Valschermvlucht ATM,NC. Zweefsleepvlucht ATM,NC. Politievlucht ATM,NC. Inspectievlucht ATM,NC. Maatschappelijke vlucht ATM,NC. Les/Oefenvlucht ATM,NC. Proef/Testvlucht ATM,NC. Overig ATM,Regio,Regio Totaal,LAT,LON,Percentage v/d Regio,Percentage van NL
10,Ameland,2020,3304,750.0,0.0,0.0,3.0,1.0,0.0,9.0,0.0,22.0,698.0,6.0,0.0,0.0,11.0,2554.0,11.0,2263.0,21.0,56.0,0.0,42.0,3.0,156.0,0.0,2.0,Noord,22598,53.44839455233084,5.685944468500809,14.6,1.0
21,Budel,2020,48484,30.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,2.0,16.0,48454.0,877.0,17303.0,0.0,0.0,4.0,1903.0,0.0,25308.0,693.0,2366.0,Zuid,85661,51.256838808461815,5.600379640884096,56.6,14.9
32,Drachten,2020,4339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4339.0,7.0,4276.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,54.0,Noord,22598,53.119886363443065,6.135111523735187,19.2,1.3
43,Hoogeveen,2020,14955,76.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,10.0,2.0,32.0,0.0,6.0,18.0,14879.0,27.0,7813.0,596.0,2518.0,9.0,41.0,18.0,3682.0,125.0,50.0,Noord,22598,52.7319839766423,6.5187968372152305,66.2,4.6
54,Hilversum,2020,41571,217.0,0.0,0.0,0.0,4.0,0.0,13.0,0.0,158.0,26.0,2.0,0.0,12.0,2.0,41354.0,69.0,17718.0,562.0,1600.0,8.0,94.0,316.0,20851.0,36.0,100.0,West,91733,52.19305224380828,5.152780269746102,45.3,12.8
65,Lelystad,2020,76946,757.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,757.0,76189.0,177.0,13292.0,0.0,0.0,124.0,0.0,0.0,62482.0,62.0,52.0,Oost,125693,52.45521172799941,5.520289096735038,61.2,23.6
76,Midden-Zeeland,2020,27722,1936.0,0.0,0.0,8.0,2.0,8.0,33.0,0.0,419.0,772.0,8.0,0.0,4.0,682.0,25786.0,22.0,11651.0,1563.0,1299.0,44.0,175.0,41.0,10809.0,129.0,53.0,West,91733,51.51333049513238,3.7294486985638424,30.2,8.5
87,Seppe,2020,37177,283.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,56.0,208.0,0.0,2.0,7.0,36894.0,80.0,10666.0,883.0,123.0,8.0,666.0,1.0,24403.0,38.0,26.0,Zuid,85661,51.555014725697056,4.5524433813646725,43.4,11.4
98,Teuge,2020,48747,9594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659.0,7790.0,485.0,0.0,12.0,648.0,39153.0,80.0,11739.0,4154.0,756.0,32.0,646.0,0.0,21571.0,175.0,0.0,Oost,125693,52.24132425514405,6.051709320001321,38.8,15.0
109,Texel,2020,22440,3844.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,404.0,3396.0,0.0,0.0,6.0,1.0,18596.0,140.0,8970.0,2968.0,0.0,24.0,187.0,8.0,6270.0,29.0,0.0,West,91733,53.118188706355205,4.8278876734813325,24.5,6.9
